userid,SEARCH,PREV,NEXT,BacktrackRate(PrevC/NextC),Readtime(seconds),LINK_CLICK,SEARCH_JUMP,PAGE_JUMP,JUMPC,OPEN,CLOSE,pc,mobile,tablet,ADD BOOKMARK,MEMOC,MARKERC,eventtime
ds134,0.0,113.0,152,0.7434210526315791,4528,0.0,0.0,0.0,0.0,7,5.0,274.0,3.0,0.0,0.0,0.0,0.0,2017-12-13 05:44:36
ds134,0.0,131.0,430,0.30465116279069765,14673,0.0,0.0,1.0,1.0,5,1.0,571.0,0.0,0.0,0.0,3.0,0.0,2018-01-17 05:44:36
ds135,0.0,12.0,86,0.13953488372093026,950,0.0,0.0,0.0,0.0,3,0.0,0.0,101.0,0.0,0.0,0.0,0.0,2017-11-22 06:01:18
ds136,0.0,34.0,224,0.15178571428571427,1217,0.0,0.0,2.0,2.0,5,3.0,268.0,0.0,0.0,0.0,0.0,0.0,2018-01-24 03:14:58
ds137,0.0,2.0,11,0.18181818181818185,26,0.0,0.0,0.0,0.0,1,0.0,0.0,14.0,0.0,0.0,0.0,0.0,2017-11-22 05:55:25
ds137,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2017-12-06 05:55:25
ds138,0.0,47.0,128,0.3671875,732,0.0,0.0,0.0,0.0,2,0.0,177.0,0.0,0.0,0.0,0.0,0.0,2017-12-13 05:47:42
ds138,0.0,5.0,107,0.04672897196261682,240,0.0,0.0,0.0,0.0,1,0.0,113.0,0.0,0.0,0.0,0.0,0.0,2017-12-20 05:47:42
ds138,0.0,33.0,396,0.08333333333333333,1446,0.0,0.0,1.0,1.0,6,4.0,440.0,0.0,0.0,0.0,0.0,0.0,2018-01-17 05:47:42
ds139,0.0,88.0,554,0.1588447653429603,7379,0.0,0.0,3.0,3.0,8,1.0,475.0,179.0,0.0,0.0,0.0,0.0,2018-01-14 01:05:36
ds139,0.0,305.0,1429,0.21343596920923724,9921,0.0,0.0,4.0,4.0,26,2.0,1289.0,477.0,0.0,0.0,0.0,0.0,2018-01-21 01:05:36
ds140,0.0,49.0,159,0.3081761006289308,2684,0.0,0.0,0.0,0.0,5,1.0,81.0,133.0,0.0,0.0,0.0,0.0,2017-12-13 05:48:27
ds140,0.0,49.0,129,0.3798449612403101,1280,0.0,0.0,1.0,1.0,1,0.0,180.0,0.0,0.0,0.0,0.0,0.0,2017-12-20 05:48:27
ds140,0.0,5.0,280,0.017857142857142856,303,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,288.0,0.0,0.0,0.0,2018-01-17 05:48:27
ds141,1.0,14.0,183,0.07650273224043716,3240,0.0,0.0,0.0,0.0,4,0.0,202.0,0.0,0.0,0.0,0.0,0.0,2017-12-13 05:50:43
ds141,0.0,2.0,37,0.054054054054054064,183,0.0,0.0,0.0,0.0,2,0.0,39.0,2.0,0.0,0.0,0.0,0.0,2017-12-20 05:50:43
ds141,0.0,25.0,306,0.08169934640522876,10974,0.0,0.0,1.0,1.0,14,11.0,357.0,0.0,0.0,0.0,0.0,0.0,2018-01-17 05:50:43
ds142,0.0,141.0,280,0.5035714285714286,3163,0.0,0.0,0.0,0.0,4,1.0,430.0,0.0,0.0,2.0,0.0,0.0,2017-11-22 05:55:19
ds143,0.0,0.0,82,0.0,412,0.0,0.0,0.0,0.0,2,1.0,0.0,85.0,0.0,0.0,0.0,0.0,2017-12-15 03:11:11
ds144,0.0,1.0,38,0.02631578947368421,113,0.0,0.0,0.0,0.0,1,0.0,40.0,0.0,0.0,0.0,0.0,0.0,2017-12-26 15:43:29
ds144,2.0,56.0,322,0.17391304347826084,7808,0.0,1.0,1.0,2.0,5,4.0,391.0,0.0,0.0,0.0,0.0,0.0,2018-01-16 15:43:29
ds145,12.0,3.0,79,0.0379746835443038,4097,0.0,1.0,2.0,3.0,5,1.0,103.0,0.0,0.0,0.0,0.0,0.0,2017-11-22 05:55:22
ds145,0.0,12.0,18,0.6666666666666666,20,0.0,0.0,0.0,0.0,1,0.0,31.0,0.0,0.0,0.0,0.0,0.0,2017-11-29 05:55:22
ds146,0.0,60.0,154,0.3896103896103896,1110,0.0,0.0,0.0,0.0,2,0.0,216.0,0.0,0.0,0.0,0.0,0.0,2017-11-22 05:55:25
ds147,1.0,156.0,281,0.5551601423487544,559,0.0,0.0,11.0,11.0,3,2.0,454.0,0.0,0.0,0.0,0.0,0.0,2017-11-22 05:56:04
ds148,0.0,9.0,75,0.12,382,0.0,0.0,1.0,1.0,2,0.0,87.0,0.0,0.0,0.0,0.0,0.0,2017-11-22 05:59:32
ds149,0.0,0.0,10,0.0,38,0.0,0.0,0.0,0.0,1,0.0,11.0,0.0,0.0,0.0,0.0,0.0,2017-12-15 15:31:54
ds149,0.0,2.0,113,0.017699115044247787,1841,0.0,0.0,1.0,1.0,2,1.0,119.0,0.0,0.0,0.0,0.0,0.0,2017-12-22 15:31:54
ds149,0.0,91.0,650,0.14,3918,0.0,0.0,0.0,0.0,7,4.0,752.0,0.0,0.0,0.0,0.0,0.0,2018-01-19 15:31:54
ds150,0.0,25.0,82,0.3048780487804878,286,0.0,0.0,0.0,0.0,2,0.0,46.0,63.0,0.0,0.0,0.0,0.0,2017-11-22 06:00:48
ds151,0.0,9.0,82,0.1097560975609756,113,0.0,0.0,0.0,0.0,1,0.0,92.0,0.0,0.0,0.0,0.0,0.0,2017-11-22 05:55:38
ds152,1.0,6.0,187,0.032085561497326213,1486,0.0,0.0,9.0,9.0,4,1.0,208.0,0.0,0.0,0.0,0.0,0.0,2017-11-22 05:57:09
ds153,7.0,144.0,266,0.5413533834586466,3979,0.0,0.0,0.0,0.0,4,0.0,426.0,0.0,0.0,0.0,2.0,3.0,2017-11-22 05:57:29
