userid,SEARCH,PREV,NEXT,BacktrackRate(PrevC/NextC),Readtime(seconds),LINK_CLICK,SEARCH_JUMP,PAGE_JUMP,JUMPC,OPEN,CLOSE,pc,mobile,tablet,ADD BOOKMARK,MEMOC,MARKERC
ds133,0.0,1.0,47.0,0.02127659574468085,248,0.0,0.0,0.0,0.0,1,0.0,49.0,0.0,0.0,0.0,0.0,0.0
ds134,0.0,244.0,582.0,0.4192439862542955,19201,0.0,0.0,1.0,1.0,12,6.0,845.0,3.0,0.0,0.0,3.0,0.0
ds135,0.0,12.0,86.0,0.13953488372093026,950,0.0,0.0,0.0,0.0,3,0.0,0.0,101.0,0.0,0.0,0.0,0.0
ds136,0.0,34.0,224.0,0.15178571428571427,1217,0.0,0.0,2.0,2.0,5,3.0,268.0,0.0,0.0,0.0,0.0,0.0
ds137,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0
ds138,0.0,85.0,631.0,0.1347068145800317,2418,0.0,0.0,1.0,1.0,9,4.0,730.0,0.0,0.0,0.0,0.0,0.0
ds139,0.0,393.0,1983.0,0.19818456883509836,17300,0.0,0.0,7.0,7.0,34,3.0,1764.0,656.0,0.0,0.0,0.0,0.0
ds140,0.0,103.0,568.0,0.1813380281690141,4267,0.0,0.0,1.0,1.0,9,1.0,261.0,133.0,288.0,0.0,0.0,0.0
ds141,1.0,41.0,526.0,0.0779467680608365,14397,0.0,0.0,1.0,1.0,20,11.0,598.0,2.0,0.0,0.0,0.0,0.0
ds142,0.0,141.0,280.0,0.5035714285714286,3163,0.0,0.0,0.0,0.0,4,1.0,430.0,0.0,0.0,2.0,0.0,0.0
ds143,0.0,0.0,82.0,0.0,412,0.0,0.0,0.0,0.0,2,1.0,0.0,85.0,0.0,0.0,0.0,0.0
ds144,2.0,57.0,360.0,0.15833333333333333,7921,0.0,1.0,1.0,2.0,6,4.0,431.0,0.0,0.0,0.0,0.0,0.0
ds145,0.0,12.0,18.0,0.6666666666666666,20,0.0,0.0,0.0,0.0,1,0.0,31.0,0.0,0.0,0.0,0.0,0.0
ds146,0.0,60.0,154.0,0.3896103896103896,1110,0.0,0.0,0.0,0.0,2,0.0,216.0,0.0,0.0,0.0,0.0,0.0
ds147,1.0,156.0,281.0,0.5551601423487544,559,0.0,0.0,11.0,11.0,3,2.0,454.0,0.0,0.0,0.0,0.0,0.0
ds148,0.0,9.0,75.0,0.12,382,0.0,0.0,1.0,1.0,2,0.0,87.0,0.0,0.0,0.0,0.0,0.0
ds149,0.0,93.0,773.0,0.1203104786545925,5797,0.0,0.0,1.0,1.0,10,5.0,882.0,0.0,0.0,0.0,0.0,0.0
ds150,0.0,25.0,82.0,0.3048780487804878,286,0.0,0.0,0.0,0.0,2,0.0,46.0,63.0,0.0,0.0,0.0,0.0
ds151,0.0,9.0,82.0,0.1097560975609756,113,0.0,0.0,0.0,0.0,1,0.0,92.0,0.0,0.0,0.0,0.0,0.0
ds152,1.0,6.0,187.0,0.032085561497326213,1486,0.0,0.0,9.0,9.0,4,1.0,208.0,0.0,0.0,0.0,0.0,0.0
ds153,7.0,144.0,266.0,0.5413533834586466,3979,0.0,0.0,0.0,0.0,4,0.0,426.0,0.0,0.0,0.0,2.0,3.0
