userid,bookmarkc,closec,markerc,memoc,mobilec,openc,pcc,tabletc,watchc,SEARCH,PREV,NEXT,BacktrackRate(PrevC/NextC),Readtime(seconds),LINK_CLICK,SEARCH_JUMP,JUMPC,Page_JumpC,Add_BookmarkC,Delete_BookmarkC,Add_MemoC,Delete_MemoC,Change_MemoC,Add_MarkerC,Delete_MarkerC,Readpages
ds242,0,0,0,0,0,4,334,0,334,0,50,277,0.180505415,8966,0,0,3,3,0,0,0,0,0,0,0,327
ds243,0,3,0,0,0,4,354,0,354,0,77,270,0.285185185,8295,0,0,0,0,0,0,0,0,0,0,0,347
ds244,0,0,0,0,0,6,563,0,563,0,192,365,0.526027397,8671,0,0,0,0,0,0,0,0,0,0,0,557
ds245,0,2,0,0,0,6,835,0,835,0,281,508,0.553149606,5660,0,0,38,38,0,0,0,0,0,0,0,789
ds246,0,4,0,0,0,3,426,0,426,0,103,316,0.325949367,9564,0,0,0,0,0,0,0,0,0,0,0,419
ds247,0,7,0,0,0,14,154,0,154,0,30,102,0.294117647,8693,0,0,1,1,0,0,0,0,0,0,0,132
ds248,0,3,0,0,0,5,34,0,34,0,6,20,0.3,103,0,0,0,0,0,0,0,0,0,0,0,26
ds249,0,0,1,3,0,9,1727,0,1727,0,621,1089,0.570247934,21819,1,0,3,3,0,0,2,0,1,1,0,1710
ds250,0,1,0,0,0,9,827,0,827,0,193,624,0.309294872,12834,0,0,0,0,0,0,0,0,0,0,0,817
ds251,2,0,4,0,0,3,320,0,320,0,50,259,0.193050193,6482,0,0,2,2,1,1,0,0,0,2,2,309
ds252,0,0,0,0,0,1,15,0,15,0,0,14,0,16,0,0,0,0,0,0,0,0,0,0,0,14
ds253,0,6,0,0,0,6,37,0,37,0,0,25,0,430,0,0,0,0,0,0,0,0,0,0,0,25
ds254,0,2,0,0,0,5,384,0,384,0,69,296,0.233108108,7153,0,0,12,12,0,0,0,0,0,0,0,365
ds255,2,5,0,0,0,6,314,0,314,0,114,187,0.609625668,764,0,0,0,0,1,1,0,0,0,0,0,301
