userid,action,operationname,markercolor,processcode,devicecode,markerposition,markertext,description,pageno,contentsid,memotext,eventtime
ds112,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,pc,NULL,NULL,NULL,10,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:24.0000000
ds112,https://w3id.org/xapi/adb/verbs/read,PREV,NULL,002,pc,NULL,NULL,NULL,11,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:24.0000000
ds142,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,pc,NULL,NULL,NULL,3,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:24.0000000
ds126,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,tablet,NULL,NULL,NULL,1,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:24.0000000
ds126,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,tablet,NULL,NULL,NULL,2,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:24.0000000
ds118,http://adlnet.gov/expapi/verbs/launched,OPEN,NULL,023,mobile,NULL,NULL,NULL,1,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:24.0000000
ds146,http://adlnet.gov/expapi/verbs/launched,OPEN,NULL,023,pc,NULL,NULL,NULL,1,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:25.0000000
ds126,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,tablet,NULL,NULL,NULL,3,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:25.0000000
ds112,https://w3id.org/xapi/adb/verbs/read,PREV,NULL,002,pc,NULL,NULL,NULL,10,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:25.0000000
ds112,https://w3id.org/xapi/adb/verbs/read,PREV,NULL,002,pc,NULL,NULL,NULL,9,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:25.0000000
ds112,https://w3id.org/xapi/adb/verbs/read,PREV,NULL,002,pc,NULL,NULL,NULL,8,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:25.0000000
ds112,https://w3id.org/xapi/adb/verbs/read,PREV,NULL,002,pc,NULL,NULL,NULL,7,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:25.0000000
ds112,https://w3id.org/xapi/adb/verbs/read,PREV,NULL,002,pc,NULL,NULL,NULL,6,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:25.0000000
ds112,https://w3id.org/xapi/adb/verbs/read,PREV,NULL,002,pc,NULL,NULL,NULL,5,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:25.0000000
ds112,https://w3id.org/xapi/adb/verbs/read,PREV,NULL,002,pc,NULL,NULL,NULL,4,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:25.0000000
ds137,http://adlnet.gov/expapi/verbs/launched,OPEN,NULL,023,mobile,NULL,NULL,NULL,1,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:25.0000000
ds142,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,pc,NULL,NULL,NULL,4,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:26.0000000
ds112,https://w3id.org/xapi/adb/verbs/read,PREV,NULL,002,pc,NULL,NULL,NULL,3,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:26.0000000
ds112,https://w3id.org/xapi/adb/verbs/read,PREV,NULL,002,pc,NULL,NULL,NULL,2,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:26.0000000
ds112,https://w3id.org/xapi/adb/verbs/read,PREV,NULL,002,pc,NULL,NULL,NULL,1,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:26.0000000
ds112,https://w3id.org/xapi/adb/verbs/read,PREV,NULL,002,pc,NULL,NULL,NULL,1,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:26.0000000
ds112,https://w3id.org/xapi/adb/verbs/read,PREV,NULL,002,pc,NULL,NULL,NULL,1,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:26.0000000
ds126,https://w3id.org/xapi/adb/verbs/read,PREV,NULL,002,tablet,NULL,NULL,NULL,4,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:27.0000000
ds112,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,pc,NULL,NULL,NULL,1,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:27.0000000
ds112,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,pc,NULL,NULL,NULL,2,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:27.0000000
ds118,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,mobile,NULL,NULL,NULL,1,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:27.0000000
ds137,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,mobile,NULL,NULL,NULL,1,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:28.0000000
ds137,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,mobile,NULL,NULL,NULL,2,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:28.0000000
ds142,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,pc,NULL,NULL,NULL,5,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:28.0000000
ds142,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,pc,NULL,NULL,NULL,6,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:28.0000000
ds112,https://w3id.org/xapi/adb/verbs/read,PREV,NULL,002,pc,NULL,NULL,NULL,3,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:28.0000000
ds112,https://w3id.org/xapi/adb/verbs/read,PREV,NULL,002,pc,NULL,NULL,NULL,2,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:28.0000000
ds146,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,pc,NULL,NULL,NULL,1,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:29.0000000
ds137,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,mobile,NULL,NULL,NULL,3,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:30.0000000
ds146,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,pc,NULL,NULL,NULL,2,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:30.0000000
ds146,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,pc,NULL,NULL,NULL,3,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:30.0000000
ds142,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,pc,NULL,NULL,NULL,7,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:30.0000000
ds118,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,mobile,NULL,NULL,NULL,2,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:31.0000000
ds137,https://w3id.org/xapi/adb/verbs/read,PREV,NULL,002,mobile,NULL,NULL,NULL,4,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:31.0000000
ds146,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,pc,NULL,NULL,NULL,4,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:31.0000000
ds123,https://w3id.org/xapi/adb/verbs/highlighted,ADD MARKER,"rgb(255,255,0)",016,pc,"155,203,141,8,656,464",NULL,NULL,1,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:31.0000000
ds102,http://adlnet.gov/expapi/verbs/launched,OPEN,NULL,023,pc,NULL,NULL,NULL,1,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:31.0000000
ds142,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,pc,NULL,NULL,NULL,8,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:31.0000000
ds142,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,pc,NULL,NULL,NULL,9,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:31.0000000
ds125,http://adlnet.gov/expapi/verbs/exited,CLOSE,NULL,024,pc,NULL,NULL,NULL,1,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:31.0000000
ds112,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,pc,NULL,NULL,NULL,1,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:31.0000000
ds102,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,pc,NULL,NULL,NULL,1,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:32.0000000
ds126,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,tablet,NULL,NULL,NULL,3,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:32.0000000
ds112,https://w3id.org/xapi/adb/verbs/read,PREV,NULL,002,pc,NULL,NULL,NULL,2,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:32.0000000
ds112,https://w3id.org/xapi/adb/verbs/read,PREV,NULL,002,pc,NULL,NULL,NULL,1,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:32.0000000
ds102,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,pc,NULL,NULL,NULL,2,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:33.0000000
ds102,https://w3id.org/xapi/adb/verbs/read,PREV,NULL,002,pc,NULL,NULL,NULL,3,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:33.0000000
ds102,https://w3id.org/xapi/adb/verbs/read,PREV,NULL,002,pc,NULL,NULL,NULL,2,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:33.0000000
ds104,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,pc,NULL,NULL,NULL,1,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:33.0000000
ds112,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,pc,NULL,NULL,NULL,1,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:33.0000000
ds112,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,pc,NULL,NULL,NULL,2,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:33.0000000
ds112,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,pc,NULL,NULL,NULL,3,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:33.0000000
ds102,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,pc,NULL,NULL,NULL,1,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:34.0000000
ds102,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,pc,NULL,NULL,NULL,2,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:34.0000000
ds102,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,pc,NULL,NULL,NULL,3,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:34.0000000
ds104,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,pc,NULL,NULL,NULL,2,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:34.0000000
ds112,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,pc,NULL,NULL,NULL,4,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:35.0000000
ds112,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,pc,NULL,NULL,NULL,5,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:35.0000000
ds112,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,pc,NULL,NULL,NULL,6,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:35.0000000
ds104,https://w3id.org/xapi/adb/verbs/highlighted,ADD MARKER,"rgb(255,255,0)",016,pc,"193,71,25,14,591,418",NULL,NULL,3,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:37.0000000
ds118,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,mobile,NULL,NULL,NULL,3,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:38.0000000
ds151,http://adlnet.gov/expapi/verbs/launched,OPEN,NULL,023,pc,NULL,NULL,NULL,1,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:38.0000000
ds151,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,pc,NULL,NULL,NULL,1,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:41.0000000
ds151,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,pc,NULL,NULL,NULL,2,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:42.0000000
ds112,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,pc,NULL,NULL,NULL,7,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:43.0000000
ds151,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,pc,NULL,NULL,NULL,3,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:43.0000000
ds137,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,mobile,NULL,NULL,NULL,3,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:44.0000000
ds137,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,mobile,NULL,NULL,NULL,3,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:45.0000000
ds112,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,pc,NULL,NULL,NULL,8,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:45.0000000
ds104,https://w3id.org/xapi/adb/verbs/read,PREV,NULL,002,pc,NULL,NULL,NULL,3,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:45.0000000
ds137,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,mobile,NULL,NULL,NULL,4,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:46.0000000
ds137,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,mobile,NULL,NULL,NULL,5,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:46.0000000
ds104,https://w3id.org/xapi/adb/verbs/bookmarked,ADD BOOKMARK,NULL,004,pc,NULL,NULL,NULL,2,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:46.0000000
ds112,https://w3id.org/xapi/adb/verbs/read,PREV,NULL,002,pc,NULL,NULL,NULL,9,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:46.0000000
ds112,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,pc,NULL,NULL,NULL,8,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:46.0000000
ds151,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,pc,NULL,NULL,NULL,4,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:46.0000000
ds118,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,mobile,NULL,NULL,NULL,4,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:47.0000000
ds137,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,mobile,NULL,NULL,NULL,6,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:47.0000000
ds137,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,mobile,NULL,NULL,NULL,7,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:47.0000000
ds104,https://w3id.org/xapi/adb/verbs/bookmarked,DELETE BOOKMARK,NULL,006,pc,NULL,NULL,NULL,2,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:47.0000000
ds151,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,pc,NULL,NULL,NULL,5,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:47.0000000
ds125,http://adlnet.gov/expapi/verbs/launched,OPEN,NULL,023,pc,NULL,NULL,NULL,1,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:47.0000000
ds118,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,mobile,NULL,NULL,NULL,5,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:48.0000000
ds118,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,mobile,NULL,NULL,NULL,6,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:48.0000000
ds123,https://w3id.org/xapi/adb/verbs/bookmarked,ADD BOOKMARK,NULL,004,pc,NULL,NULL,NULL,1,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:48.0000000
ds151,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,pc,NULL,NULL,NULL,6,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:48.0000000
ds118,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,mobile,NULL,NULL,NULL,7,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:49.0000000
ds123,https://w3id.org/xapi/adb/verbs/bookmarked,DELETE BOOKMARK,NULL,006,pc,NULL,NULL,NULL,1,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:49.0000000
ds137,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,mobile,NULL,NULL,NULL,8,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:49.0000000
ds121,http://adlnet.gov/expapi/verbs/launched,OPEN,NULL,023,tablet,NULL,NULL,NULL,1,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:49.0000000
ds151,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,pc,NULL,NULL,NULL,7,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:49.0000000
ds118,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,mobile,NULL,NULL,NULL,8,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:50.0000000
ds137,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,mobile,NULL,NULL,NULL,9,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:50.0000000
ds121,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,tablet,NULL,NULL,NULL,1,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:50.0000000
ds151,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,pc,NULL,NULL,NULL,8,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:50.0000000
ds137,https://w3id.org/xapi/adb/verbs/read,PREV,NULL,002,mobile,NULL,NULL,NULL,10,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:51.0000000
ds121,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,tablet,NULL,NULL,NULL,2,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:51.0000000
ds121,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,tablet,NULL,NULL,NULL,3,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:51.0000000
ds151,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,pc,NULL,NULL,NULL,9,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:51.0000000
ds131,http://adlnet.gov/expapi/verbs/launched,OPEN,NULL,023,pc,NULL,NULL,NULL,1,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:51.0000000
ds118,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,mobile,NULL,NULL,NULL,9,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:52.0000000
ds118,https://w3id.org/xapi/adb/verbs/read,PREV,NULL,002,mobile,NULL,NULL,NULL,10,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:52.0000000
ds121,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,tablet,NULL,NULL,NULL,4,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:52.0000000
ds125,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,pc,NULL,NULL,NULL,1,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:52.0000000
ds151,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,pc,NULL,NULL,NULL,10,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:52.0000000
ds151,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,pc,NULL,NULL,NULL,11,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:52.0000000
ds121,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,tablet,NULL,NULL,NULL,5,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:53.0000000
ds121,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,tablet,NULL,NULL,NULL,6,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:53.0000000
ds125,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,pc,NULL,NULL,NULL,2,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:53.0000000
ds131,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,pc,NULL,NULL,NULL,1,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:53.0000000
ds151,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,pc,NULL,NULL,NULL,12,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:53.0000000
ds125,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,pc,NULL,NULL,NULL,3,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:54.0000000
ds125,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,pc,NULL,NULL,NULL,3,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:54.0000000
ds125,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,pc,NULL,NULL,NULL,4,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:54.0000000
ds125,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,pc,NULL,NULL,NULL,4,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:54.0000000
ds121,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,tablet,NULL,NULL,NULL,7,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:55.0000000
ds125,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,pc,NULL,NULL,NULL,5,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:55.0000000
ds125,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,pc,NULL,NULL,NULL,5,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:55.0000000
ds125,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,pc,NULL,NULL,NULL,6,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:55.0000000
ds125,https://w3id.org/xapi/adb/verbs/read,NEXT,NULL,003,pc,NULL,NULL,NULL,7,9f61408e3afb633e50cdf1b20de6f466,NULL,2017-11-22 05:55:55.0000000
