userid,bookmarkc,closec,markerc,memoc,mobilec,openc,pcc,tabletc,watchc,SEARCH,PREV,NEXT,BacktrackRate(PrevC/NextC),Readtime(seconds),LINK_CLICK,SEARCH_JUMP,JUMPC,Page_JumpC,Add_BookmarkC,Delete_BookmarkC,Add_MemoC,Delete_MemoC,Change_MemoC,Add_MarkerC,Delete_MarkerC,Readpages
ds137,0,0,0,0,16,3,0,0,16,0,2,11,0.181818182,26,0,0,0,0,0,0,0,0,0,0,0,13
ds138,0,4,0,0,0,9,730,0,730,0,85,631,0.134706815,2418,0,0,1,1,0,0,0,0,0,0,0,716
ds139,0,3,0,0,656,34,1764,0,2420,0,393,1983,0.198184569,17300,0,0,7,7,0,0,0,0,0,0,0,2376
ds140,0,1,0,0,133,9,261,288,682,0,103,568,0.181338028,4267,0,0,1,1,0,0,0,0,0,0,0,671
ds141,0,11,0,0,2,20,598,0,600,1,41,526,0.077946768,14397,0,0,1,1,0,0,0,0,0,0,0,567
ds142,4,1,0,0,0,4,430,0,430,0,141,280,0.503571429,3163,0,0,0,0,2,2,0,0,0,0,0,421
ds143,0,1,0,0,85,2,0,0,85,0,0,82,0,412,0,0,0,0,0,0,0,0,0,0,0,82
ds144,0,4,0,0,0,6,431,0,431,2,57,360,0.158333333,7921,0,1,2,1,0,0,0,0,0,0,0,417
ds145,0,1,0,0,0,6,134,0,134,12,15,97,0.154639175,4117,0,1,3,2,0,0,0,0,0,0,0,112
ds146,0,0,0,0,0,2,216,0,216,0,60,154,0.38961039,1110,0,0,0,0,0,0,0,0,0,0,0,214
ds147,0,2,0,0,0,3,454,0,454,1,156,281,0.555160142,559,0,0,11,11,0,0,0,0,0,0,0,437
ds148,0,0,0,0,0,2,87,0,87,0,9,75,0.12,382,0,0,1,1,0,0,0,0,0,0,0,84
ds149,0,5,0,0,0,10,882,0,882,0,93,773,0.120310479,5797,0,0,1,1,0,0,0,0,0,0,0,866
ds150,0,0,0,0,63,2,46,0,109,0,25,82,0.304878049,286,0,0,0,0,0,0,0,0,0,0,0,107
ds151,0,0,0,0,0,1,92,0,92,0,9,82,0.109756098,113,0,0,0,0,0,0,0,0,0,0,0,91
ds152,0,1,0,0,0,4,208,0,208,1,6,187,0.032085561,1486,0,0,9,9,0,0,0,0,0,0,0,193
ds153,0,0,3,2,0,4,426,0,426,7,144,266,0.541353383,3979,0,0,0,0,0,0,1,0,0,2,1,410
